label, leftEyebrow,rightEyebrow,leftLip,rightLip,lipHeight,lipWidth
neutral,5.675586,5.8496065,4.9412313,5.232825,1.121114,4.194002
neutral,5.5956945,5.824933,4.9555306,4.7361994,1.037037,3.521636
neutral,5.3531313,5.4662967,5.040543,5.035244,1.119105,3.6770594
neutral,6.2080846,5.6657753,4.0539503,4.219829,0.86161816,2.7467103
neutral,6.479796,6.2746177,4.9626102,4.7965937,1.2770158,3.8829014
neutral,5.716672,5.2028766,4.7504673,4.907945,0.9988681,3.425021
neutral,5.7238765,5.1876717,4.051402,4.3068547,0.6943892,2.6021352
neutral,5.933614,5.505619,5.0598454,4.785413,1.180298,3.7036793
neutral,5.8263392,5.5691323,4.493051,4.9053316,1.1351916,3.3604739
neutral,5.5935864,5.978851,4.844656,4.7256594,1.3326733,3.3326168
neutral,5.177272,6.040637,4.640324,4.4738765,1,3.0431356
neutral,6.1956053,5.705275,4.4669967,4.758383,0.9531985,3.368421
neutral,6.100653,5.5811987,4.808464,4.8374543,0.8620569,3.5680068
neutral,6.44023,5.492166,4.812137,4.677723,1.0476191,3.1908314
neutral,5.701749,5.8207254,4.7107177,4.1849933,1.1504303,2.8635645
neutral,6.5300922,5.886232,4.7971363,5.100179,1.1413361,3.6638377
neutral,5.9162455,5.533848,4.9750133,5.427331,1.1578834,4.020845
neutral,5.360542,5.747221,5.4401956,5.098162,1.3826658,3.8574722
neutral,6.134958,6.2808743,4.9993362,5.107213,1.1976599,4.100546
neutral,6.193223,5.909245,4.419616,4.6940274,1.0837362,3.428717
neutral,6.030626,5.749226,5.3706512,5.5415,1.3072432,4.000236
neutral,5.5717535,5.677273,4.7170825,4.6046047,0.8842188,3.2835717
neutral,5.399157,5.5610647,5.052803,4.90976,1.2941103,3.840936
neutral,5.608269,5.6799774,4.9120903,4.898446,0.92705166,3.5228598
neutral,6.811877,6.51022,5.4653907,5.624416,1.2921591,4.428534
neutral,6.277144,5.394178,4.3787427,5.32803,0.9935599,3.4502788
neutral,6.245432,6.8371763,4.244013,4.134475,0.8335368,2.7984457
neutral,6.1130595,6.09207,4.734924,4.799148,0.95454544,3.4545455
neutral,5.9094124,5.8797812,4.9771194,4.968533,0.9566056,3.5184152
neutral,5.878223,5.7990923,4.109597,4.3337493,0.8647471,2.595094
neutral,6.2644234,5.801684,5.664361,6.2014256,1.5299412,4.5339594
neutral,5.4426146,5.333801,6.844315,7.159655,2.4399402,5.4924784
neutral,5.216821,5.2682467,6.6011343,6.796475,2.3079965,5.6143923
neutral,6.0457554,6.162602,4.876609,4.9283543,0.8687445,3.5629115
neutral,5.4988847,5.4762025,4.9124546,4.993918,1.4552555,3.3639436
neutral,5.4492564,5.616919,5.165937,4.9790454,1.2313701,3.6925082
neutral,6.0754523,6.015523,5.0532994,5.1621304,1.0443763,3.814514
neutral,5.6978607,5.941759,4.5960984,4.35678,1.1563362,2.891331
neutral,6.694113,6.6074243,4.917831,4.5364547,0.91218174,3.6055515
neutral,5.6522245,5.685481,5.132803,5.3271456,1.2993381,4.04618
neutral,5.445904,5.771899,4.7851324,4.394136,0.82608694,3.3523405
neutral,5.763625,5.8995495,5.1706305,4.7515793,1.2509997,3.7013512
neutral,6.06272,5.2212296,4.576254,4.746615,1.1295121,3.2589896
neutral,5.9960074,6.1825156,4.386638,4.619207,1.0424997,3.4585845
neutral,5.8683553,5.6577682,4.8734584,4.597944,1.2406449,3.2809753
neutral,5.3874345,5.1094437,5.478741,5.7051587,2.0555556,4.392052
neutral,6.009696,5.835658,4.678512,4.5624447,0.69337523,3.3463748
neutral,6.2102046,5.991275,5.2289286,5.05944,1.3991446,4.095189
neutral,6.346093,5.844129,5.166221,5.2280126,1.1363636,3.7283812
neutral,6.1381497,5.260741,4.407187,4.987171,0.9539097,3.4651847
neutral,5.8187585,5.890542,5.199431,4.772981,1.3455507,3.9021811
neutral,6.453095,5.6279273,4.9891253,5.503512,1.146563,4.036352
neutral,6.1277437,6.147598,4.6404657,4.7034974,0.96666664,3.1666667
neutral,5.8091726,5.880299,4.8815904,4.6904683,1.2638645,3.4880297
neutral,5.319548,5.176503,4.4533806,4.5346146,1.0376943,2.883509
neutral,6.5941653,6.3459578,4.2003713,4.4380937,0.87929684,2.8779762
neutral,5.2622204,5.593104,4.7302194,4.7732787,0.9611157,3.1773133
neutral,5.800374,5.373763,4.430417,4.7568626,1.0365933,3.1761732
neutral,6.182838,6.0046997,4.970413,4.4530773,1.1703017,3.5084996
neutral,5.4763865,5.5235415,5.4719925,5.1587715,1.4285715,4.0478992
neutral,5.9677715,5.81966,5.5829806,5.183984,1.4559193,4.1640306
neutral,5.5417604,5.354458,4.498281,4.8588996,0.8890506,3.262279
neutral,6.3717895,6.3187084,4.4435196,3.9995928,0.8150972,3.0351818
neutral,5.6257405,5.3041835,4.5487676,5.0903234,1.0411612,3.3501287
neutral,5.404634,5.297557,4.909985,5.122693,1.6402303,3.175493
neutral,5.3232503,5.208883,4.535209,4.8073444,1.2698134,3.5008452
neutral,5.4525924,5.5642734,5.1053963,5.0355425,1.5841503,3.7060537
neutral,5.218142,5.3776484,4.9534426,4.8872232,1.1247954,3.5395758
neutral,5.9552884,5.689347,4.8843317,5.265085,1.0101526,3.9073744
neutral,5.3896255,5.350044,4.8776116,4.6091204,0.8809086,3.4002352
neutral,5.9610825,6.0660553,4.9908366,4.8500147,1.15,3.6503425
neutral,5.938668,5.7091002,5.5178742,5.2740893,1.3817732,3.9549618
neutral,5.3850317,6.0370193,5.4490547,4.424242,1.0383831,4.105277
neutral,5.7047625,5.573536,5.1498475,5.1070004,1.4178853,3.6719933
neutral,5.5818987,5.2388306,5.220084,5.6931653,1.65,3.9512658
neutral,5.3154573,5.530716,4.4138727,4.9146175,1.227743,3.2212532
neutral,5.5346637,5.5494604,4.19743,4.3293915,0.8527301,2.960633
neutral,6.1501656,5.802289,5.053828,5.289989,1.5012023,3.8153245
neutral,5.4662943,5.800457,5.1404276,5.1985683,1.2675363,4.1082983
neutral,6.1539865,5.8451643,5.3951864,5.2327204,1.25,3.85
neutral,5.080695,5.485365,5.2136803,5.2049003,1.651186,3.609474
neutral,5.7341943,6.0838485,4.9296036,4.939532,1.3919835,3.2608695
neutral,5.428971,4.894943,4.4082875,4.8287835,1.118034,2.9207675
neutral,5.8929753,5.623562,4.507175,5.110284,1.3392836,3.7139845
neutral,6.154695,5.769669,4.946424,4.68194,1.0399373,3.6772766
neutral,5.8372474,5.7898006,5.4081273,5.566301,1.4999999,3.9942791
neutral,5.637077,5.351591,6.67961,6.7236276,1.9387163,5.346607
neutral,5.815362,5.668052,4.4206495,4.5672474,1.1219562,2.9643784
neutral,6.71995,6.47163,4.250066,4.5202923,0.8854511,2.9271228
neutral,5.6067276,5.1687026,4.5725713,5.146046,1.0369251,3.4751866
neutral,5.8245573,5.578076,5.1278872,5.128367,1.0981266,3.6702302
neutral,5.619602,5.6059284,5.353504,5.2487373,1.1995428,3.8951342
neutral,6.0129395,5.5856466,5.010581,5.523719,1.1455204,4.091709
neutral,6.027218,6.1280026,4.072517,4.137723,0.92866594,2.9275758
neutral,5.523431,5.8343143,4.4446974,3.950249,0.7259527,2.7520397
neutral,5.7893,5.88053,6.2867484,6.0332165,1.9475671,4.7942715
neutral,5.9450374,6.0839725,5.331252,5.151677,1.2173913,4.000236
surprise,5.6772895,5.9437637,5.4295325,5.6060233,3.1584866,3.1584866
surprise,5.3990397,5.585449,5.5148053,5.221969,3.178772,2.7893748
surprise,5.159237,5.207447,5.957942,6.1129556,3.5621173,4.085178
surprise,5.470161,5.231648,4.653957,4.914403,2.1243303,2.8388562
surprise,5.5435686,5.560215,5.955755,6.1426325,3.4380682,3.7505207
surprise,6.1709166,5.417747,5.784574,6.1856117,3.1578948,3.5804949
surprise,5.603694,5.3540893,4.7335567,5.227813,2.685202,2.725973
surprise,5.6057615,5.4801564,6.289234,6.253186,4.3533387,3.2358289
surprise,5.1657705,5.1140924,5.845352,5.833722,3.7088408,3.371461
surprise,6.177029,6.1377215,5.5056863,5.6419954,3.1396601,3.0441697
surprise,5.5295362,5.7435284,5.3567533,5.2531676,2.714966,2.4806945
surprise,5.683647,5.4324045,4.0374465,5.033837,1.0361127,3.6400547
surprise,5.545064,5.2303534,5.962418,6.0363126,3.5539794,3.5056
surprise,5.090624,4.8606834,5.4951153,5.524682,3.1186664,2.5156174
surprise,5.2628517,5.1070347,6.02443,5.6301966,3.5997055,2.8482141
surprise,6.0171943,5.689774,5.426655,5.94704,3.5185788,3.074531
surprise,5.3780575,5.4058743,6.72601,6.374351,3.8337998,3.690032
surprise,5.624401,5.558736,5.1270585,5.713443,2.2976732,3.9953215
surprise,5.797818,5.2068243,5.806454,6.2587867,3.6124785,3.1975205
surprise,5.5828104,5.5809994,5.4684043,5.0861697,2.7957215,2.874758
surprise,5.6674414,5.4856343,5.5973487,5.640734,2.9077778,3.289744
surprise,5.8134203,5.7659583,5.845214,5.9471393,2.5829363,4.119766
surprise,5.9026875,5.4698935,5.249756,5.8129315,2.4689245,3.22946
surprise,5.2032027,5.3660564,4.613759,4.5392528,1.691062,2.7250109
surprise,5.237303,5.1633606,5.2142878,5.5146003,2.6227243,2.9153273
surprise,5.4507256,5.330849,5.4979258,5.4935575,2.9568415,2.8698945
surprise,5.6733522,5.618664,4.6422353,5.2190466,2.5761347,2.4705322
surprise,4.9112535,5.049528,5.7910748,5.9629283,3.5541909,3.2944894
surprise,5.907887,5.9826045,6.0018334,6.615707,3.0373688,4.6946387
surprise,5.68964,5.374562,5.458168,5.4851875,3.1198692,3.1333706
surprise,5.4024515,5.4449296,6.4804606,6.359641,4.0473714,3.8367946
surprise,5.191905,5.1401744,5.655033,5.556975,2.8443108,3.4207635
surprise,5.843037,5.6114964,5.791204,6.0399384,3.3295605,3.5686545
surprise,6.049586,5.986922,5.224266,4.899955,2.3439977,3.1967826
surprise,5.833019,5.649777,5.491738,5.3448296,3.1186664,3.118967
surprise,5.561467,5.4785237,6.3581724,6.439845,4.4447284,3.5968952
surprise,5.2923336,5.356879,6.461643,6.002004,3.8964143,3.7506442
surprise,5.7946887,5.6798854,5.8527756,5.703854,2.8907356,3.731677
surprise,5.7990875,5.385478,5.9826846,6.283062,4.010635,3.3403912
surprise,5.947909,6.1780453,4.7136345,5.082822,2.6306727,2.673089
surprise,5.334139,5.09698,5.7477922,5.5297804,2.9130435,3.046272
surprise,5.8035,5.674204,5.1534534,5.4704885,2.9292934,2.4126053
surprise,5.7181234,5.4225965,5.835508,6.239724,3.823463,3.2155285
surprise,4.925696,4.7109833,5.2135653,5.4789195,2.2625413,3.173913
surprise,5.591455,5.2225833,5.690987,5.357242,2.7698674,3.5011046
surprise,5.817139,5.249325,5.4761257,6.164061,3.2346294,3.0622416
surprise,5.8356285,5.530984,5.3486943,5.167678,1.3072398,3.8874705
surprise,5.2029266,5.1463,5.9417896,5.767398,3.305492,3.048443
surprise,5.968164,5.923977,4.527485,4.961651,2.3703704,2.3749955
surprise,5.0247226,5.08182,5.6096826,5.9634585,2.9132102,3.017246
surprise,5.3868666,5.204098,5.4129667,5.9842134,2.8141887,3.5165057
surprise,6.104951,5.830733,5.5781074,5.806651,3.757208,3.0106306
surprise,5.2754865,5.2814255,5.4962344,5.0868554,1.8617141,3.6783009
surprise,5.3820767,5.4427834,5.2265615,5.303487,2.566107,2.9550085
surprise,5.3807015,5.3599815,5.36393,5.4447904,2.9816513,2.8036466
surprise,6.1426992,6.000384,5.632345,5.2314706,3.2592869,3.3048651
surprise,5.5148087,5.249876,5.6067934,6.3223276,3.5553412,3.134441
surprise,5.6921177,5.5560784,5.0590334,5.9365716,2.4041631,3.2540572
surprise,5.0679646,5.0076976,5.1221404,5.395847,2.5292704,2.8890219
surprise,5.3241863,5.291273,5.7365575,6.4375105,3.805509,3.3326168
surprise,5.073235,5.1146846,5.4210315,5.413007,2.7482479,2.6064594
surprise,5.299545,5.1983037,5.296785,5.22013,2.2380953,3.0956044
surprise,5.7971983,5.4879208,6.07436,5.9880342,2.2637699,4.317073
surprise,4.7058945,5.023602,5.6983566,4.9095755,3.4979568,2.7139795
surprise,5.2074676,5.2965913,5.772937,5.713825,3.1996903,3.203682
surprise,5.3220663,4.9483004,5.3640723,6.9436283,2.139995,4.4401255
surprise,5.540576,5.4243894,4.8420672,5.412139,2.3641825,2.8093102
surprise,5.365684,5.3970847,4.8538938,5.376785,2.2431655,2.9653587
surprise,5.246147,5.3915887,5.4686694,5.5587993,3.2809753,2.6403031
surprise,5.2875834,5.2119784,6.05499,6.174757,3.5249596,3.4751866
surprise,5.489581,5.492224,6.3488636,6.2226567,4.042302,3.0907247
surprise,5.775319,5.812861,5.743431,5.7257676,4.1267653,2.6528733
surprise,5.122245,5.268149,5.5374293,5.7216125,3.084349,2.9566045
surprise,5.0696797,4.692198,5.6573563,5.5561686,3.039315,3.2055519
surprise,5.559274,5.5575576,6.207884,6.5958295,4.4793353,2.54733
surprise,5.1218176,5.3030443,5.1998277,5.4789553,3.3103874,2.6328003
surprise,5.8978515,5.733374,4.675072,5.272027,2.44,2.6150336
surprise,6.552644,6.0880923,4.3730025,4.8679943,1.8477557,2.590949
surprise,5.370618,4.9734464,5.8424015,6.007799,3.8408332,2.64
surprise,5.737018,5.513247,5.527136,6.0361543,2.6509304,3.9953215
surprise,5.2889123,5.450625,4.9848948,4.980599,2.7694979,2.5002959
surprise,5.3140607,5.17649,6.0562453,5.5868745,3.5591211,3.1105394
surprise,5.600998,5.473557,5.854402,5.4379754,1.9587765,3.379113
surprise,5.962234,5.9578924,7.119819,7.080455,5.093262,3.6620698
sadness,5.3138266,5.548395,5.158963,5.2503796,1.0028262,4.039662
sadness,4.6855364,5.001599,4.722373,4.2465587,0.9019265,2.9643826
sadness,5.0739,4.968354,5.6456437,5.6800656,1.0453628,4.269286
sadness,6.029783,5.788262,4.052624,4.2799835,0.7924806,2.6076808
sadness,5.2166376,5.5382056,5.697018,5.301352,1.3657907,4.093616
sadness,5.4987926,4.7845283,4.979524,5.243751,1.1102643,3.6350098
sadness,5.3250766,4.6463885,4.150725,4.8685207,0.87061685,3.3377707
sadness,5.539302,5.2646184,3.87999,3.8382099,0.34802672,1.8067654
sadness,5.5460315,5.442398,5.1778316,4.78479,1.3483157,3.296261
sadness,5.295532,6.0849676,5.4863753,5.5732837,2,4.1768847
sadness,4.540043,5.523548,5.0150805,4.8522305,1.1701413,3.1142354
sadness,5.834638,5.674468,4.557086,4.743723,0.99628025,3.2870133
sadness,5.4795604,5.046675,4.8527174,4.868582,0.8278848,3.3989425
sadness,6.397732,5.529682,4.704223,4.8261743,1.665742,2.4981794
sadness,6.3210263,5.667358,5.3234673,4.921938,1.2851396,3.8530707
sadness,5.740621,5.6523786,5.556803,6.2167735,1.3319303,4.8170867
sadness,5.438277,5.5547104,5.27871,5.172335,1.9507511,3.4329386
